Friday_of_Week,NFCI
1/16/76,-0.410239556
1/23/76,-0.476035014
1/30/76,-0.535047521
2/6/76,-0.586669633
2/13/76,-0.630108381
2/20/76,-0.666506825
2/27/76,-0.696143971
3/5/76,-0.719282805
3/12/76,-0.735443624
3/19/76,-0.744652942
3/26/76,-0.746245645
4/2/76,-0.739401526
4/9/76,-0.72384434
4/16/76,-0.69954347
4/23/76,-0.667871113
4/30/76,-0.630584702
5/7/76,-0.590352519
5/14/76,-0.550645701
5/21/76,-0.515117087
5/28/76,-0.486703779
6/4/76,-0.468308708
6/11/76,-0.461337363
6/18/76,-0.46527729
6/25/76,-0.47981423
7/2/76,-0.502611988
7/9/76,-0.531044801
7/16/76,-0.562378532
7/23/76,-0.594494395
7/30/76,-0.624930745
8/6/76,-0.652142306
8/13/76,-0.675462966
8/20/76,-0.694232609
8/27/76,-0.708217334
9/3/76,-0.717775922
9/10/76,-0.723164494
9/17/76,-0.725070753
9/24/76,-0.724061257
10/1/76,-0.720014833
10/8/76,-0.714106001
10/15/76,-0.706800238
10/22/76,-0.69821418
10/29/76,-0.68862041
11/5/76,-0.67946995
11/12/76,-0.671756641
11/19/76,-0.666741856
11/26/76,-0.666338322
12/3/76,-0.671525195
12/10/76,-0.684071598
12/17/76,-0.703368162
12/24/76,-0.729451849
12/31/76,-0.761336733
1/7/77,-0.797480534
1/14/77,-0.834280424
1/21/77,-0.869613492
1/28/77,-0.90082596
2/4/77,-0.925296129
2/11/77,-0.941451033
2/18/77,-0.948455734
2/25/77,-0.945922518
3/4/77,-0.933978714
3/11/77,-0.91400802
3/18/77,-0.886890848
3/25/77,-0.854110896
4/1/77,-0.817199851
4/8/77,-0.77765124
4/15/77,-0.73611277
4/22/77,-0.694252581
4/29/77,-0.652875934
5/6/77,-0.613781484
5/13/77,-0.578178218
5/20/77,-0.547693049
5/27/77,-0.523155323
6/3/77,-0.505481437
6/10/77,-0.494625554
6/17/77,-0.489557374
6/24/77,-0.489519416
7/1/77,-0.493257891
7/8/77,-0.499343058
7/15/77,-0.505477302
7/22/77,-0.510357759
7/29/77,-0.512465321
8/5/77,-0.511039021
8/12/77,-0.506115045
8/19/77,-0.497422801
8/26/77,-0.485708662
9/2/77,-0.470598623
9/9/77,-0.452111522
9/16/77,-0.429985002
9/23/77,-0.405044875
9/30/77,-0.377843626
10/7/77,-0.349983638
10/14/77,-0.322145301
10/21/77,-0.295450935
10/28/77,-0.271297252
11/4/77,-0.250387014
11/11/77,-0.234017449
11/18/77,-0.222842403
11/25/77,-0.217348935
12/2/77,-0.217243951
12/9/77,-0.222486861
12/16/77,-0.231832834
12/23/77,-0.24481986
12/30/77,-0.259407939
1/6/78,-0.274008132
1/13/78,-0.286148113
1/20/78,-0.293563957
1/27/78,-0.294326566
2/3/78,-0.28715906
2/10/78,-0.271722271
2/17/78,-0.247280009
2/24/78,-0.214207446
3/3/78,-0.173465962
3/10/78,-0.126086778
3/17/78,-0.073520013
3/24/78,-0.01717396
3/31/78,0.041781242
4/7/78,0.102468222
4/14/78,0.164549197
4/21/78,0.22764076
4/28/78,0.291180905
5/5/78,0.353459663
5/12/78,0.413623203
5/19/78,0.470115535
5/26/78,0.521270158
6/2/78,0.565966965
6/9/78,0.602207077
6/16/78,0.629065593
6/23/78,0.645020413
6/30/78,0.649385408
7/7/78,0.642173638
7/14/78,0.624311926
7/21/78,0.59816352
7/28/78,0.566155402
8/4/78,0.531935569
8/11/78,0.501015601
8/18/78,0.480081153
8/25/78,0.476188369
9/1/78,0.495332539
9/8/78,0.543395332
9/15/78,0.623541175
9/22/78,0.735658107
9/29/78,0.877910012
10/6/78,1.043207972
10/13/78,1.223759301
10/20/78,1.407998048
10/27/78,1.584699708
11/3/78,1.740410656
11/10/78,1.867402285
11/17/78,1.9584253
11/24/78,2.007061199
12/1/78,2.015576491
12/8/78,1.985032676
12/15/78,1.91911241
12/22/78,1.823937506
12/29/78,1.705000756
1/5/79,1.568549457
1/12/79,1.42141604
1/19/79,1.269598528
1/26/79,1.118936092
2/2/79,0.973846785
2/9/79,0.837881289
2/16/79,0.712874652
2/23/79,0.600582104
3/2/79,0.503125166
3/9/79,0.420511513
3/16/79,0.353843249
3/23/79,0.302735262
3/30/79,0.267359864
4/6/79,0.246932924
4/13/79,0.240714392
4/20/79,0.248149106
4/27/79,0.268299481
5/4/79,0.30007579
5/11/79,0.342407607
5/18/79,0.394620196
5/25/79,0.455829911
6/1/79,0.524742534
6/8/79,0.59933692
6/15/79,0.677602272
6/22/79,0.757353409
6/29/79,0.837556629
7/6/79,0.916793169
7/13/79,0.996044607
7/20/79,1.077426631
7/27/79,1.162460173
8/3/79,1.252850301
8/10/79,1.349629456
8/17/79,1.454237698
8/24/79,1.566363338
8/31/79,1.684906447
9/7/79,1.80771071
9/14/79,1.933018442
9/21/79,2.056987149
9/28/79,2.174538056
10/5/79,2.281518088
10/12/79,2.372847941
10/19/79,2.443484062
10/26/79,2.489233719
11/2/79,2.507727016
11/9/79,2.494725195
11/16/79,2.452557498
11/23/79,2.38358313
11/30/79,2.293584074
12/7/79,2.189651324
12/14/79,2.079924858
12/21/79,1.97399714
12/28/79,1.878404285
1/4/80,1.801648907
1/11/80,1.75377268
1/18/80,1.741238387
1/25/80,1.772513133
2/1/80,1.854002259
2/8/80,1.98715832
2/15/80,2.171658904
2/22/80,2.402208429
2/29/80,2.668536567
3/7/80,2.953071299
3/14/80,3.239860096
3/21/80,3.504938088
3/28/80,3.72561523
4/4/80,3.888630459
4/11/80,3.976285508
4/18/80,3.983131555
4/25/80,3.910282178
5/2/80,3.762933361
5/9/80,3.551834862
5/16/80,3.293552513
5/23/80,3.002580759
5/30/80,2.692089026
6/6/80,2.377080027
6/13/80,2.067780265
6/20/80,1.77144431
6/27/80,1.500006493
7/4/80,1.263715561
7/11/80,1.068416599
7/18/80,0.922242891
7/25/80,0.82282374
8/1/80,0.768813174
8/8/80,0.755993532
8/15/80,0.774861736
8/22/80,0.81595859
8/29/80,0.87641849
9/5/80,0.949636535
9/12/80,1.028738597
9/19/80,1.117447864
9/26/80,1.215778947
10/3/80,1.32734217
10/10/80,1.453706875
10/17/80,1.604930214
10/24/80,1.778239392
10/31/80,1.976336962
11/7/80,2.193965004
11/14/80,2.419889561
11/21/80,2.64687774
11/28/80,2.863977909
12/5/80,3.049132456
12/12/80,3.1902272
12/19/80,3.284083628
12/26/80,3.309681689
1/2/81,3.27661155
1/9/81,3.186486429
1/16/81,3.051507962
1/23/81,2.881063488
1/30/81,2.691076057
2/6/81,2.490775835
2/13/81,2.296564582
2/20/81,2.120300747
2/27/81,1.962395914
3/6/81,1.83493629
3/13/81,1.740373582
3/20/81,1.681485325
3/27/81,1.660156809
4/3/81,1.676918178
4/10/81,1.727214694
4/17/81,1.81214517
4/24/81,1.920029588
5/1/81,2.048726343
5/8/81,2.196512001
5/15/81,2.356051388
5/22/81,2.521550002
5/29/81,2.694376173
6/5/81,2.862307297
6/12/81,3.02519219
6/19/81,3.172926438
6/26/81,3.299838071
7/3/81,3.399475164
7/10/81,3.470001781
7/17/81,3.510224407
7/24/81,3.518084447
7/31/81,3.500812294
8/7/81,3.458060582
8/14/81,3.396725978
8/21/81,3.323573631
8/28/81,3.246792332
9/4/81,3.169414999
9/11/81,3.098964742
9/18/81,3.032655765
9/25/81,2.970947903
10/2/81,2.91656297
10/9/81,2.861923082
10/16/81,2.809448432
10/23/81,2.755753854
10/30/81,2.69657592
11/6/81,2.627698622
11/13/81,2.550729606
11/20/81,2.465658633
11/27/81,2.377543811
12/4/81,2.292115978
12/11/81,2.210939409
12/18/81,2.134573569
12/25/81,2.066561639
1/1/82,2.005199084
1/8/82,1.953923935
1/15/82,1.918753561
1/22/82,1.898905016
1/29/82,1.898184325
2/5/82,1.909685571
2/12/82,1.933457026
2/19/82,1.96465644
2/26/82,1.998801372
3/5/82,2.029570548
3/12/82,2.056149396
3/19/82,2.080431467
3/26/82,2.101690562
4/2/82,2.120399621
4/9/82,2.143157575
4/16/82,2.171090683
4/23/82,2.206706542
4/30/82,2.254095707
5/7/82,2.315584799
5/14/82,2.392633186
5/21/82,2.484048733
5/28/82,2.581596721
6/4/82,2.67816356
6/11/82,2.769945122
6/18/82,2.847987617
6/25/82,2.906710816
7/2/82,2.945682839
7/9/82,2.969579954
7/16/82,2.983357983
7/23/82,3.00038114
7/30/82,3.029794595
8/6/82,3.079697595
8/13/82,3.15140887
8/20/82,3.236371488
8/27/82,3.325054519
9/3/82,3.400332776
9/10/82,3.443340113
9/17/82,3.437219157
9/24/82,3.36535432
10/1/82,3.222011676
10/8/82,3.011233588
10/15/82,2.746005806
10/22/82,2.448032493
10/29/82,2.139032736
11/5/82,1.839323114
11/12/82,1.563959633
11/19/82,1.323149566
11/26/82,1.121189379
12/3/82,0.95542975
12/10/82,0.820918787
12/17/82,0.710664084
12/24/82,0.614674708
12/31/82,0.527888577
1/7/83,0.446685286
1/14/83,0.370475857
1/21/83,0.299225054
1/28/83,0.234528934
2/4/83,0.177194003
2/11/83,0.12857145
2/18/83,0.089939235
2/25/83,0.061200469
3/4/83,0.039913028
3/11/83,0.025605488
3/18/83,0.015605135
3/25/83,0.005405662
4/1/83,-0.006791667
4/8/83,-0.023449857
4/15/83,-0.04554767
4/22/83,-0.072589396
4/29/83,-0.102979882
5/6/83,-0.133866666
5/13/83,-0.161780907
5/20/83,-0.183689475
5/27/83,-0.199230277
6/3/83,-0.205671443
6/10/83,-0.203951885
6/17/83,-0.195599824
6/24/83,-0.181511368
7/1/83,-0.162918882
7/8/83,-0.143139506
7/15/83,-0.1233337
7/22/83,-0.106396259
7/29/83,-0.093534424
8/5/83,-0.085765052
8/12/83,-0.082952205
8/19/83,-0.085151609
8/26/83,-0.089871014
9/2/83,-0.095468401
9/9/83,-0.099995617
9/16/83,-0.101654289
9/23/83,-0.098000324
9/30/83,-0.08870465
10/7/83,-0.072879795
10/14/83,-0.051445012
10/21/83,-0.025036847
10/28/83,0.002268785
11/4/83,0.030202659
11/11/83,0.055138733
11/18/83,0.076215334
11/25/83,0.092065399
12/2/83,0.101158376
12/9/83,0.102764261
12/16/83,0.096075136
12/23/83,0.079661532
12/30/83,0.053376214
1/6/84,0.020129758
1/13/84,-0.01864254
1/20/84,-0.060610553
1/27/84,-0.101548217
2/3/84,-0.138532939
2/10/84,-0.169097799
2/17/84,-0.190222359
2/24/84,-0.200778164
3/2/84,-0.198890134
3/9/84,-0.182999401
3/16/84,-0.151656182
3/23/84,-0.104057591
3/30/84,-0.039358862
4/6/84,0.04199481
4/13/84,0.138053149
4/20/84,0.247467025
4/27/84,0.368179016
5/4/84,0.495856484
5/11/84,0.626593879
5/18/84,0.754310937
5/25/84,0.873390541
6/1/84,0.979908436
6/8/84,1.068561847
6/15/84,1.137127241
6/22/84,1.18186785
6/29/84,1.19938264
7/6/84,1.186958478
7/13/84,1.145436675
7/20/84,1.080734759
7/27/84,0.99893749
8/3/84,0.908078379
8/10/84,0.815377963
8/17/84,0.726091981
8/24/84,0.642106228
8/31/84,0.564997824
9/7/84,0.496036826
9/14/84,0.433115728
9/21/84,0.373693393
9/28/84,0.316435356
10/5/84,0.26072225
10/12/84,0.205450895
10/19/84,0.151214967
10/26/84,0.099572021
11/2/84,0.051096618
11/9/84,0.005388229
11/16/84,-0.038665683
11/23/84,-0.081012161
11/30/84,-0.122930008
12/7/84,-0.163588082
12/14/84,-0.204757241
12/21/84,-0.245971402
12/28/84,-0.285578547
1/4/85,-0.323241763
1/11/85,-0.355661714
1/18/85,-0.379667381
1/25/85,-0.394036784
2/1/85,-0.39774981
2/8/85,-0.39103948
2/15/85,-0.376606239
2/22/85,-0.356962935
3/1/85,-0.334764472
3/8/85,-0.313541337
3/15/85,-0.296464823
3/22/85,-0.28491372
3/29/85,-0.280598279
4/5/85,-0.285359768
4/12/85,-0.298586235
4/19/85,-0.319507962
4/26/85,-0.346035256
5/3/85,-0.374957377
5/10/85,-0.405072582
