"date","PCE","Consumption_logdiff","INDPRO","Output_logdiff","MORTGAGE30US","LOANINV","CreditSupply_logdiff","CSUSHPISA","HousePrice_logdiff"
1987-01-01,2935.5,NA,56.0882,NA,9.204,2074.3761,NA,63.963,NA
1987-02-01,3001.7,0.0223009983177453,56.8275,0.0130949117680599,9.0825,2077.2609,0.00138971709920099,64.422,0.00715039849907573
1987-03-01,3013.3,0.0038570288880404,56.9098,0.00144719479649869,9.035,2088.6684,0.00547658286569686,64.733,0.00481592816521648
1987-04-01,3038.8,0.00842687691904054,57.2701,0.00631111423113584,9.8325,2111.8015,0.0110146409474963,65.129,0.0060988006875986
1987-05-01,3048.4,0.00315416216289499,57.6322,0.00630276676266917,10.596,2121.1581,0.0044208384311677,65.562,0.0066263412837948
1987-06-01,3072.8,0.0079723352397334,57.9307,0.00516602930283394,10.5375,2128.4483,0.00343100346966452,66.07,0.0077185262251307
1987-07-01,3094.7,0.00710177285581537,58.3258,0.00679706547396641,10.278,2134.1486,0.0026745683590228,66.506,0.00657738311384293
1987-08-01,3130.8,0.0115975920431719,58.7636,0.00747808153783769,10.33,2145.5556,0.00533075487444368,66.938,0.00647464867896108
1987-09-01,3126.5,-0.0013743949233298,58.9951,0.00393177401290679,10.8875,2168.1487,0.0104751299673387,67.331,0.00585393683270485
1987-10-01,3134.5,0.00255550370667024,59.781,0.0132334951092075,11.26,2180.8269,0.00583044702082258,67.739,0.00604133028681542
1987-11-01,3144.2,0.00308981404339015,60.0726,0.00486594604352852,10.65,2184.5469,0.00170432181567648,68.105,0.00538854694518687
1987-12-01,3174.1,0.00946464181877538,60.4095,0.00559254657894304,10.64,2198.3553,0.00630105124704627,68.506,0.00587070077386187
1988-01-01,3213.7,0.0123987937343006,60.3976,-0.000197008289057443,10.3825,2212.4234,0.0063789859619412,68.859,0.00513960291276661
1988-02-01,3221.4,0.00239312634608879,60.7003,0.00499927134064215,9.8925,2222.0005,0.00431944040823051,69.263,0.0058499174950315
1988-03-01,3260.5,0.0120645101766783,60.8501,0.00246482242494661,9.93,2238.7003,0.00748755801811818,69.638,0.0053995422796822
1988-04-01,3263,0.000766459760063398,61.2031,0.00578437901264195,10.202,2259.5959,0.00929051772885181,69.974,0.00481334912060571
1988-05-01,3293.6,0.009334173862376,61.0797,-0.00201827308318769,10.455,2279.9876,0.00898401236818369,70.424,0.00641036967735165
1988-06-01,3318.5,0.0075316821302831,61.2569,0.00289692739416747,10.46,2299.0054,0.00830659027054192,70.887,0.00655294572693599
1988-07-01,3342.7,0.00726599005255579,61.2659,0.000146911432258534,10.432,2314.3844,0.00666713962357957,71.353,0.00655232940426131
1988-08-01,3368,0.00754023272368265,61.5731,0.00500167927823725,10.5975,2323.2415,0.00381967453161458,71.799,0.00623115909078553
1988-09-01,3375,0.00207622794441242,61.3807,-0.00312963335887328,10.48,2328.9944,0.00247317765307287,72.24,0.00612336072814212
1988-10-01,3413.7,0.0114014227244432,61.6453,0.0043015363906127,10.3025,2342.0133,0.0055743576324403,72.635,0.00545299021611712
1988-11-01,3430.2,0.00482182146690846,61.7944,0.00241575558772045,10.265,2356.621,0.00621786933425383,73.069,0.00595730087758373
1988-12-01,3459.7,0.00856331159236312,62.0743,0.00451930917807708,10.612,2368.0254,0.00482762991501229,73.464,0.00539129010879069
1989-01-01,3483.7,0.00691306725262031,62.2574,0.00294534913247801,10.73,2375.2431,0.00304334682754526,73.945,0.00652608330751114
1989-02-01,3488,0.00123355868590558,61.9819,-0.0044349968419306,10.645,2395.0009,0.00828381650255938,74.381,0.00587895926213644
1989-03-01,3498.8,0.00309154651682952,62.1369,0.00249760842958135,11.032,2403.5974,0.00358292512059499,74.777,0.00530981818483944
1989-04-01,3543,0.0125537733197714,62.1276,-0.000149680721643897,11.05,2421.6494,0.00748234648672863,75.083,0.00408381723312079
1989-05-01,3551.8,0.00248069135502327,61.7744,-0.00570129548713005,10.7725,2438.7323,0.00702947685932909,75.305,0.00295236536498322
1989-06-01,3566.6,0.00415824379791907,61.7697,-7.60861911217603e-05,10.196,2450.5952,0.00485257871495914,75.477,0.0022814404186775
1989-07-01,3585.7,0.0053409519744676,61.1738,-0.00969395968925557,9.8825,2471.3509,0.00843399038159287,75.655,0.00235555782104413
1989-08-01,3620.6,0.00968604494896219,61.7732,0.00975062016915285,9.985,2487.076,0.00634279905177326,75.832,0.00233683524720618
1989-09-01,3621.9,0.000358992064608543,61.5796,-0.00313896658954693,10.126,2498.6611,0.00464730515000689,76.053,0.00291009850827617
1989-10-01,3633.6,0.00322514234484217,61.4966,-0.00134875812841795,9.9475,2518.7953,0.00802570325211516,76.282,0.0030065339219334
1989-11-01,3643.3,0.0026659719784945,61.7044,0.00337335244121473,9.7675,2530.0919,0.00447489452760763,76.515,0.00304980046204939
1989-12-01,3684.2,0.0111635413883278,62.0428,0.00546922829010921,9.744,2538.904,0.00347686565584215,76.704,0.00246705820897475
1990-01-01,3730.7,0.0125424778727119,61.729,-0.00507063276692499,9.895,2553.1427,0.00559253987649999,76.896,0.00250000130208416
1990-02-01,3728.2,-0.00067034015568268,62.2896,0.0090406409731596,10.1975,2571.7595,0.00726526328213772,77.052,0.00202665904585331
1990-03-01,3754.9,0.00713611025001804,62.5999,0.00496920299174874,10.268,2581.9338,0.00394835805138438,77.2,0.00191893843081914
1990-04-01,3770,0.00401334775689222,62.4359,-0.0026232502058825,10.37,2595.3345,0.00517675698858078,77.278,0.00100985262145681
