Algorithm,Adj_P,Adj_R,F1_Adj,Arrow_P,Arrow_R,F1_Arrow,SHD,Time(s),Edges
"SVAR-FCI(α=0.05, p=2)",0.5,0.4,0.4444444444444445,0.3333333333333333,0.4,0.3636363636363636,-99.0,0.46555423736572266,4
"LPCMCI-GPDC(α=0.05, τ=2)",0.6666666666666666,0.4,0.5,0.4,0.4,0.4000000000000001,-99.0,648.4385600090027,3
PC(α=0.05),0.2,0.4,0.26666666666666666,,0.0,,13.0,0.44287800788879395,10
FCI(α=0.05),0.3333333333333333,1.0,0.5,0.2857142857142857,0.4,0.3333333333333333,-99.0,0.0043337345123291016,15
GES(local_score_BIC),0.1,0.2,0.13333333333333333,,0.0,,14.0,0.05783510208129883,10
"tsFCI(α=0.05, τ=2)",0.5,0.8,0.6153846153846154,0.26666666666666666,0.8,0.4,-99.0,0.7194898128509521,8
