Algorithm,Adj_P,Adj_R,F1_Adj,Arrow_P,Arrow_R,F1_Arrow,SHD,Time(s),Edges
"SVAR-FCI(α=0.05, p=2)",0.5454545454545454,0.75,0.631578947368421,0.3333333333333333,0.5,0.4,-99.0,0.054180145263671875,11
"SVAR-GFCI(α=0.05, p=2)",0.6,0.75,0.6666666666666665,0.5,0.625,0.5555555555555556,7.0,0.3284780979156494,10
"LPCMCI(α=0.05, τ=2)",0.5454545454545454,0.75,0.631578947368421,0.45454545454545453,0.625,0.5263157894736842,-99.0,1.1956307888031006,11
PC(α=0.05),0.25,0.5,0.3333333333333333,,0.0,,20.0,0.3729226589202881,16
FCI(α=0.05),0.38095238095238093,1.0,0.5517241379310345,0.2,0.125,0.15384615384615385,20.0,0.0057430267333984375,21
GES(local_score_BIC),0.2777777777777778,0.625,0.3846153846153846,,0.0,,21.0,0.046070098876953125,18
"tsFCI(α=0.05, τ=2)",0.5,0.875,0.6363636363636364,0.35714285714285715,0.625,0.45454545454545453,-99.0,0.6784200668334961,14
