Algorithm,Avg_Similarity,Avg_F1_Arrow,Avg_F1_Adj,Avg_Arrow_Precision,Avg_Arrow_Recall,Avg_Adj_Precision,Avg_Adj_Recall,Rank
"LPCMCI(α=0.05, τ=2)",0.5361249864169457,0.46790097774079464,0.5661241625775806,0.3866213151927438,0.4166666666666667,0.5890275479561193,0.4675324675324676,1
"LPCMCI-PARCORR(α=0.05, τ=2)",0.5361249864169457,0.46790097774079464,0.5661241625775806,0.3034188034188034,0.5137362637362638,0.47485521235521233,0.5817048031333746,2
"SVAR-FCI(α=0.05, p=2)",0.4609666049928561,0.3751688311688312,0.5056369823474007,0.2453102453102453,0.4478021978021978,0.43677606177606176,0.5219645433931148,3
"tsFCI(α=0.05, τ=2)",0.4220520019353734,0.3556979450963965,0.5140009337522877,0.16666666666666666,0.7066544566544567,0.35135135135135137,0.7134405277262419,4
"LPCMCI-GPDC(α=0.05, τ=2)",0.3871858847903983,0.2997031039136302,0.42071445409370795,0.19746919746919747,0.39163614163614163,0.38148326898326895,0.4938260152545867,5
"LPCMCI-CMI-KNN(α=0.05, τ=2)",0.2698840387617542,0.2062297961591401,0.30409235865331347,0.14408607265750123,0.3525641025641026,0.31034810320524603,0.3884972170686457,6
GES(local_score_BIC),,,0.33329690832773823,0.0,,0.4972965312251026,0.21753246753246755,7
"SVAR-GFCI(α=0.05, p=2)",,,,0.0,0.0,0.0,0.0,8
