Algorithm,SID,SID_Normalized,Max_SID,Nodes,Edges,Directed_Edges
LPCMCI-GPDC_0.05_2_,90,0.8181818181818182,110,11,9,3
SVAR-FCI_0.05_p_2_,91,0.8272727272727273,110,11,16,14
SVAR-GFCI_0.05_p_2_,92,0.8363636363636363,110,11,18,18
GES_local_score_BIC_,99,0.9,110,11,44,0
LPCMCI-CMI-KNN_0.05_2_,99,0.9,110,11,7,2
LPCMCI-PARCORR_0.05_2_,99,0.9,110,11,20,8
LPCMCI_0.05_2_,99,0.9,110,11,20,8
tsFCI_0.05_2_,99,0.9,110,11,37,1
