Algorithm,SID,SID_Normalized,Max_SID,Nodes,Edges,Directed_Edges
LPCMCI-GPDC_0.05_2_,13,0.43333333333333335,30,6,3,1
LPCMCI-PARCORR_0.05_2_,13,0.43333333333333335,30,6,5,0
SVAR-FCI_0.05_p_2_,13,0.43333333333333335,30,6,4,2
tsFCI_0.05_2_,13,0.43333333333333335,30,6,8,0
SVAR-GFCI_0.05_p_2_,14,0.4666666666666667,30,6,5,4
LPCMCI-CMI-KNN_0.05_2_,18,0.6,30,6,3,2
